time,message
2023-04-18 00:10:48,:face-red-heart-shape:
2023-04-18 00:11:30,olvidado de cura
2023-04-18 00:11:56,"mucho satanismo ahora en el mundo, tengan cuidado ,oren y portense bien"
2023-04-18 00:12:06,yo los dos
2023-04-18 00:12:24,que
2023-04-18 00:12:33,so
2023-04-18 00:12:42,hola maria
2023-04-18 00:13:03,solo tu te entiendes
2023-04-18 00:13:22,huyyy Francis
2023-04-18 00:13:29,q paso maria
