2023-04-18 20:38:25,claro mano
2023-04-18 20:38:28,Muy fumado Jorge listo
2023-04-18 20:38:29,Golllll
2023-04-18 20:38:31,mano Clarita
2023-04-18 20:38:39,"me gusta uno cero ganando Pereira , saludos Armenia Quindío ..."
2023-04-18 20:38:39,erace ni parecido al boca
2023-04-18 20:38:41,gooool
2023-04-18 20:38:44,UNA MANO EVIDENTE.
2023-04-18 20:38:44,goll prereira
2023-04-18 20:38:47,golll hp
2023-04-18 20:38:49,gooooollllll
2023-04-18 20:38:51,gooollll
2023-04-18 20:38:52,GOOOLLLLL
2023-04-18 20:38:55,Golllllll
2023-04-18 20:38:56,GOOOLLLL
2023-04-18 20:38:58,goooooooooool siiiiiii vamos Deportivo Pereira
2023-04-18 20:39:00,GOOOOLLLLLLL
2023-04-18 20:39:01,golllllllll hp
2023-04-18 20:39:04,Se los dijeeee GOOOOOL
2023-04-18 20:39:06,gooooooooooolllllll taque taque hp
2023-04-18 20:39:09,GOOOOOOOOLLLLLLLLL
