time,message
2023-04-20 21:51:16,ahí si aparecen los del chat que nunca escriben
2023-04-20 21:51:18,así es no lo leen
2023-04-20 21:51:19,Aries más agresivo. uhhhhh
2023-04-20 21:51:32,jajaja jajaja jajaja jajaja
2023-04-20 21:51:37,"@Sebastián Jiménez Da igual si mandan, yo tengo mi IG privado Jajajaja"
2023-04-20 21:51:38,jajajaj norallba ellos están desesperados por Saver si van apichar algún día xd :face_with_tears_of_joy::rolling_on_the_floor_laughing:
2023-04-20 21:51:39,bnas 30 febrero 197..hor esa
2023-04-20 21:51:47,@Alejandro AG ᵔᴥᵔ usted es muy apetecido por la comunidad :v
2023-04-20 21:51:49,mi gente feliz noche. que pasen bien jajaj
2023-04-20 21:51:50,Daniel yo Guillermo Guzmán 07 de octubre 1993 a las 05:00 pm en Magangué Bolivar
2023-04-20 21:51:54,:hand-pink-waving::hand-pink-waving:
2023-04-20 21:51:58,@Sebastián Jiménez Panitaaaaaaaaaaaaaaaaa!! TQM... de que me he perdido??
2023-04-20 21:52:02,pasen los datos de Daza
2023-04-20 21:52:06,@Alejandro AG ᵔᴥᵔ ajajja crack
2023-04-20 21:52:07,:hand-pink-waving::hand-pink-waving:
2023-04-20 21:52:08,chao Daniel feliz noche men :call_me_hand::hot_beverage:
2023-04-20 21:52:09,Martin hola
2023-04-20 21:52:13,"@Sebastián Jiménez Ahí lo acepté, acepteme que es urgenteeeee"
2023-04-20 21:52:14,chao Daniel
2023-04-20 21:52:17,Daniel:hand-pink-waving::hand-pink-waving:
2023-04-20 21:52:17,"@Martin Emilio Romero Baquero panitaaa, tqm"
2023-04-20 21:52:26,Luxiri me las está hechando o q? Jakajajajajaj:hand-orange-covering-eyes:
2023-04-20 21:52:31,Hola @María Moyano el amor imposible
2023-04-20 21:52:38,gracias mañana hay una buena jornada jajaj
2023-04-20 21:52:43,feliz noche
2023-04-20 21:52:43,jajaja jajaja jajaja jajaja
2023-04-20 21:52:50,"@Martin Emilio Romero Baquero Buenas noches. Cuál imposible, ¿le enseño a conquistar?"
2023-04-20 21:53:02,Noralba :eyes: :chocolate_bar:
2023-04-20 21:53:16,dígale al oyente a qué se dedica y el dice soy sicario a hay está la vaina :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
2023-04-20 21:53:17,"@Sebastián Jiménez Panita, vaya bajando las 34 pacas de Antioqueño y reparta pana"
